analysis_group,year,n_entries,mean_sent,prop_neg,prop_pos
MigrantBlock,2000,10,-0.012367331981658935,0.5,0.5
MigrantBlock,2001,8,0.474799245595932,0.25,0.75
MigrantBlock,2002,23,-0.3241175775942595,0.6521739130434783,0.34782608695652173
MigrantBlock,2003,25,0.24246367692947388,0.36,0.64
MigrantBlock,2004,44,-0.04967688565904444,0.5227272727272727,0.4772727272727273
MigrantBlock,2005,36,0.1120682805776596,0.4166666666666667,0.5833333333333334
MigrantBlock,2006,26,-0.003834268221488366,0.5,0.5
MigrantBlock,2007,37,-0.04595998815588049,0.5135135135135135,0.4864864864864865
MigrantBlock,2008,34,0.07261613186667948,0.4411764705882353,0.5588235294117647
MigrantBlock,2009,39,-0.0608060726752648,0.5384615384615384,0.46153846153846156
MigrantBlock,2010,61,0.08004002004373269,0.4426229508196721,0.5573770491803278
MigrantBlock,2011,118,-0.11425845703836214,0.5677966101694916,0.4322033898305085
MigrantBlock,2012,146,-0.3259662005999317,0.6712328767123288,0.3287671232876712
MigrantBlock,2013,288,-0.23088675944341552,0.6180555555555556,0.3819444444444444
MigrantBlock,2014,302,-0.22296938852758597,0.6158940397350994,0.3841059602649007
MigrantBlock,2015,856,-0.3203541438016936,0.6647196261682243,0.3352803738317757
MigrantBlock,2016,1563,-0.468336116710841,0.7370441458733206,0.2629558541266795
MigrantBlock,2017,603,-0.4014406345574615,0.7064676616915423,0.2935323383084577
MigrantBlock,2018,1056,-0.43492159015978826,0.7234848484848485,0.2765151515151515
MigrantBlock,2019,1705,-0.3342382901225272,0.6703812316715543,0.3296187683284457
MigrantBlock,2020,1870,-0.46951201647360696,0.741711229946524,0.25828877005347595
MigrantBlock,2021,6460,-0.4790718512084831,0.7492260061919505,0.25077399380804954
MigrantBlock,2022,11573,-0.4696972230625556,0.7405167199516115,0.2594832800483885
MigrantBlock,2023,6805,-0.5116170222316044,0.7648787656135194,0.23512123438648053
MigrantBlock,2024,7412,-0.5197461517884547,0.769158121964382,0.23084187803561793
